path,class4,group_key,source,domain,phash
ham/images/ISIC_0024698.jpg,1,ham_HAM_0001751,ham,dermoscopic,a666c8993366ccd9
ham/images/ISIC_0024693.jpg,1,ham_HAM_0000559,ham,dermoscopic,cde561999e2d8166
ham/images/ISIC_0025964.jpg,3,ham_HAM_0000871,ham,dermoscopic,972a59b966269999
ham/images/ISIC_0030623.jpg,3,ham_HAM_0000871,ham,dermoscopic,a6479938674e98e3
ham/images/ISIC_0027190.jpg,3,ham_HAM_0000040,ham,dermoscopic,b0669997c6c9726c
ham/images/ISIC_0031023.jpg,3,ham_HAM_0005678,ham,dermoscopic,a5649493595b36ec
ham/images/ISIC_0028086.jpg,3,ham_HAM_0005678,ham,dermoscopic,e16e96b4d9928c99
ham/images/ISIC_0031177.jpg,3,ham_HAM_0005191,ham,dermoscopic,edead11d18c0664f
ham/images/ISIC_0026993.jpg,3,ham_HAM_0005186,ham,dermoscopic,a44e9a39297b66c6
ham/images/ISIC_0026120.jpg,3,ham_HAM_0007310,ham,dermoscopic,b033c34fcfc42c8e
ham/images/ISIC_0028412.jpg,3,ham_HAM_0007310,ham,dermoscopic,b133cd8c74927333
ham/images/ISIC_0030417.jpg,3,ham_HAM_0004476,ham,dermoscopic,f5194446d361769b
ham/images/ISIC_0026531.jpg,3,ham_HAM_0000876,ham,dermoscopic,f7a6c59d0cb44899
ham/images/ISIC_0032396.jpg,3,ham_HAM_0000876,ham,dermoscopic,e46d9699099b96b2
ham/images/ISIC_0030443.jpg,3,ham_HAM_0006722,ham,dermoscopic,94e3d93c659b5123
ham/images/ISIC_0031499.jpg,3,ham_HAM_0006722,ham,dermoscopic,a5709a6f64cc2d72
ham/images/ISIC_0025450.jpg,3,ham_HAM_0003832,ham,dermoscopic,e656988d3336669c
ham/images/ISIC_0024586.jpg,3,ham_HAM_0003832,ham,dermoscopic,d5aa5d88762750cd
ham/images/ISIC_0025451.jpg,3,ham_HAM_0002143,ham,dermoscopic,f29ecd19344653ac
ham/images/ISIC_0032248.jpg,3,ham_HAM_0002119,ham,dermoscopic,b0cbc73c22633c9d
ham/images/ISIC_0028445.jpg,3,ham_HAM_0000492,ham,dermoscopic,b2e9cd263098cfcc
ham/images/ISIC_0027076.jpg,3,ham_HAM_0000492,ham,dermoscopic,868b59ae76989966
ham/images/ISIC_0029512.jpg,3,ham_HAM_0004784,ham,dermoscopic,d5df55ca102742b9
ham/images/ISIC_0027872.jpg,3,ham_HAM_0004784,ham,dermoscopic,dde3c39e04eb106c
ham/images/ISIC_0030486.jpg,3,ham_HAM_0001150,ham,dermoscopic,b005062a1f3f4efb
ham/images/ISIC_0029028.jpg,3,ham_HAM_0003182,ham,dermoscopic,f3bd8da330a48791
ham/images/ISIC_0027125.jpg,3,ham_HAM_0003182,ham,dermoscopic,868299dd6666d9c9
ham/images/ISIC_0029575.jpg,3,ham_HAM_0001747,ham,dermoscopic,f2ac8576874b9998
ham/images/ISIC_0028361.jpg,3,ham_HAM_0001747,ham,dermoscopic,81ac966a9d4978b7
